Game no.,Winner,Score,mcbadboy,mcboy
1000,mcboy,3,0,2187
1000,mcboy,3,0,2190
1000,mcboy,3,0,2193
1000,mcboy,2,0,2195
1000,mcboy,3,0,2198
1000,mcboy,3,0,2201
1000,mcboy,3,0,2204
1000,mcboy,2,0,2206
1000,mcboy,3,0,2209
1000,mcboy,3,0,2212
1000,mcboy,3,0,2215
1000,mcboy,3,0,2218
1000,mcboy,3,0,2221
1000,mcboy,3,0,2224
1000,mcboy,3,0,2227
1000,mcboy,2,0,2229
1000,mcboy,3,0,2232
1000,mcboy,3,0,2235
1000,mcboy,3,0,2238
1000,mcboy,3,0,2241
1000,mcboy,3,0,2244
1000,mcboy,3,0,2247
1000,mcboy,3,0,2250
1000,mcboy,3,0,2253
1000,mcboy,3,0,2256
1000,mcboy,3,0,2259
1000,mcboy,3,0,2262
1000,mcboy,3,0,2265
1000,mcboy,2,0,2267
1000,mcboy,3,0,2270
1000,mcboy,3,0,2273
1000,mcboy,3,0,2276
1000,mcboy,3,0,2279
1000,mcboy,3,0,2282
1000,mcboy,3,0,2285
1000,mcboy,2,0,2287
1000,mcboy,3,0,2290
1000,mcboy,3,0,2293
1000,mcboy,3,0,2296
1000,mcboy,3,0,2299
1000,mcboy,2,0,2301
1000,mcboy,3,0,2304
1000,mcboy,2,0,2306
1000,mcboy,2,0,2308
1000,mcboy,3,0,2311
1000,mcboy,3,0,2314
1000,mcboy,3,0,2317
1000,mcboy,3,0,2320
1000,mcboy,3,0,2323
1000,mcboy,3,0,2326
1000,mcboy,3,0,2329
1000,mcboy,3,0,2332
1000,mcboy,3,0,2335
1000,mcboy,2,0,2337
1000,mcboy,3,0,2340
1000,mcboy,3,0,2343
1000,mcboy,2,0,2345
1000,mcboy,3,0,2348
1000,mcboy,2,0,2350
1000,mcboy,3,0,2353
1000,mcboy,3,0,2356
1000,mcboy,3,0,2359
1000,mcboy,3,0,2362
1000,mcboy,3,0,2365
1000,mcboy,3,0,2368
1000,mcboy,3,0,2371
1000,mcboy,3,0,2374
1000,mcboy,2,0,2376
1000,mcboy,3,0,2379
1000,mcboy,3,0,2382
1000,mcboy,3,0,2385
1000,mcboy,3,0,2388
1000,mcboy,2,0,2390
1000,mcboy,3,0,2393
1000,mcboy,3,0,2396
1000,mcboy,3,0,2399
1000,mcboy,3,0,2402
1000,mcboy,2,0,2404
1000,mcboy,3,0,2407
1000,mcboy,2,0,2409
1000,mcboy,3,0,2412
1000,mcboy,3,0,2415
1000,mcboy,3,0,2418
1000,mcboy,3,0,2421
1000,mcboy,3,0,2424
1000,mcboy,3,0,2427
1000,mcboy,2,0,2429
1000,mcboy,3,0,2432
1000,mcboy,3,0,2435
1000,mcboy,3,0,2438
1000,mcboy,3,0,2441
1000,mcboy,3,0,2444
1000,mcboy,3,0,2447
1000,mcboy,3,0,2450
1000,mcboy,3,0,2453
1000,mcboy,3,0,2456
1000,mcboy,3,0,2459
1000,mcboy,3,0,2462
1000,mcboy,3,0,2465
1000,mcboy,2,0,2467
1000,mcboy,2,0,2469
1000,mcboy,3,0,2472
1000,mcboy,3,0,2475
1000,mcboy,3,0,2478
1000,mcboy,3,0,2481
1000,mcboy,3,0,2484
1000,mcboy,2,0,2486
1000,mcboy,3,0,2489
1000,mcboy,3,0,2492
1000,mcboy,3,0,2495
1000,mcboy,3,0,2498
1000,mcboy,2,0,2500
1000,mcboy,3,0,2503
1000,mcboy,3,0,2506
1000,mcboy,3,0,2509
1000,mcboy,3,0,2512
1000,mcboy,3,0,2515
1000,mcboy,3,0,2518
1000,mcboy,3,0,2521
1000,mcboy,3,0,2524
1000,mcboy,2,0,2526
1000,mcboy,3,0,2529
1000,mcboy,3,0,2532
1000,mcboy,3,0,2535
1000,mcboy,3,0,2538
1000,mcboy,3,0,2541
1000,mcboy,3,0,2544
1000,mcboy,3,0,2547
1000,mcboy,3,0,2550
1000,mcboy,3,0,2553
1000,mcboy,3,0,2556
1000,mcboy,2,0,2558
1000,mcboy,2,0,2560
1000,mcboy,3,0,2563
1000,mcboy,3,0,2566
1000,mcboy,3,0,2569
1000,mcboy,3,0,2572
1000,mcboy,3,0,2575
1000,mcboy,3,0,2578
1000,mcboy,3,0,2581
1000,mcboy,2,0,2583
1000,mcboy,3,0,2586
1000,mcboy,3,0,2589
1000,mcboy,2,0,2591
1000,mcboy,3,0,2594
1000,mcboy,3,0,2597
1000,mcboy,2,0,2599
1000,mcboy,3,0,2602
1000,mcboy,3,0,2605
1000,mcboy,3,0,2608
1000,mcboy,3,0,2611
1000,mcboy,3,0,2614
1000,mcboy,2,0,2616
1000,mcboy,3,0,2619
1000,mcboy,2,0,2621
1000,mcboy,3,0,2624
1000,mcboy,3,0,2627
1000,mcboy,3,0,2630
1000,mcboy,3,0,2633
1000,mcboy,3,0,2636
1000,mcboy,3,0,2639
1000,mcboy,3,0,2642
1000,mcboy,3,0,2645
1000,mcboy,3,0,2648
1000,mcboy,3,0,2651
1000,mcboy,3,0,2654
1000,mcboy,2,0,2656
